,time,avg_temp,min_temp,max_temp,precipitation,location,precipitation_rounded
90,19-05-1990,26.4,21.4,32.5,0.0,Bangalore,0.0
91,20-05-1990,23.9,21.3,29.2,1.3,Bangalore,0.0
92,21-05-1990,24.8,21.4,28.0,2.3,Bangalore,0.0
93,22-05-1990,23.1,21.2,29.7,0.0,Bangalore,0.0
94,23-05-1990,24.2,21.6,31.5,2.0,Bangalore,0.0
95,25-05-1990,23.4,19.4,29.2,85.1,Bangalore,90.0
96,01-06-1990,25.5,20.0,32.0,0.0,Bangalore,0.0
97,02-06-1990,24.7,20.4,31.8,0.0,Bangalore,0.0
98,03-06-1990,22.9,19.8,28.6,15.0,Bangalore,20.0
99,12-06-1990,22.8,19.9,26.3,0.0,Bangalore,0.0
100,13-06-1990,23.8,20.1,28.2,1.5,Bangalore,0.0
101,14-06-1990,24.2,20.6,29.9,0.0,Bangalore,0.0
102,16-06-1990,23.6,20.2,28.8,0.0,Bangalore,0.0
103,18-06-1990,23.7,19.6,29.1,0.0,Bangalore,0.0
104,20-06-1990,23.7,20.8,29.1,0.0,Bangalore,0.0
105,23-06-1990,24.5,19.9,30.0,0.0,Bangalore,0.0
106,25-06-1990,23.5,19.6,27.8,0.0,Bangalore,0.0
107,27-06-1990,22.6,20.2,27.8,0.0,Bangalore,0.0
108,29-06-1990,23.1,19.8,26.8,5.6,Bangalore,10.0
109,30-06-1990,23.4,20.0,28.6,1.0,Bangalore,0.0
110,01-07-1990,22.7,19.6,28.3,0.0,Bangalore,0.0
111,02-07-1990,22.3,19.5,26.9,8.4,Bangalore,10.0
112,03-07-1990,22.2,19.4,27.0,1.0,Bangalore,0.0
113,04-07-1990,22.3,19.7,29.1,0.0,Bangalore,0.0
114,05-07-1990,24.0,19.2,30.0,0.0,Bangalore,0.0
115,07-07-1990,22.9,20.2,28.0,0.0,Bangalore,0.0
116,08-07-1990,21.5,19.6,23.5,0.5,Bangalore,0.0
117,09-07-1990,22.7,19.4,27.1,0.3,Bangalore,0.0
118,11-07-1990,22.3,19.4,27.0,1.8,Bangalore,0.0
119,12-07-1990,21.3,19.5,22.8,0.0,Bangalore,0.0
120,13-07-1990,22.4,18.4,27.7,0.0,Bangalore,0.0
121,15-07-1990,22.2,19.0,27.5,0.0,Bangalore,0.0
122,20-07-1990,23.8,19.4,29.4,2.0,Bangalore,0.0
123,23-07-1990,21.7,19.0,27.1,0.0,Bangalore,0.0
124,25-07-1990,22.9,19.2,27.0,0.0,Bangalore,0.0
125,30-07-1990,24.1,19.6,31.3,0.0,Bangalore,0.0
126,31-07-1990,23.9,20.0,29.4,2.3,Bangalore,0.0
127,01-08-1990,22.4,20.3,30.4,0.0,Bangalore,0.0
128,02-08-1990,21.8,20.2,25.4,8.4,Bangalore,10.0
129,03-08-1990,22.6,20.0,27.5,3.6,Bangalore,0.0
130,05-08-1990,22.9,20.2,28.5,2.0,Bangalore,0.0
131,07-08-1990,21.4,19.0,24.0,10.4,Bangalore,10.0
132,11-08-1990,21.8,19.0,26.0,25.9,Bangalore,30.0
133,12-08-1990,22.3,19.6,26.5,0.3,Bangalore,0.0
134,14-08-1990,20.3,18.7,22.2,4.1,Bangalore,0.0
135,16-08-1990,21.4,19.3,25.5,0.5,Bangalore,0.0
136,17-08-1990,22.3,19.4,26.2,0.0,Bangalore,0.0
137,18-08-1990,22.4,19.5,27.0,0.0,Bangalore,0.0
138,19-08-1990,22.4,19.0,27.2,0.0,Bangalore,0.0
139,21-08-1990,22.2,20.0,26.8,0.0,Bangalore,0.0
140,23-08-1990,22.8,20.0,27.5,0.0,Bangalore,0.0
141,24-08-1990,23.6,19.9,28.0,0.0,Bangalore,0.0
142,30-08-1990,23.3,19.2,28.0,0.0,Bangalore,0.0
143,31-08-1990,23.5,19.3,27.3,0.0,Bangalore,0.0
144,01-09-1990,23.0,19.0,28.4,0.0,Bangalore,0.0
145,02-09-1990,25.1,20.5,29.5,0.0,Bangalore,0.0
146,04-09-1990,21.9,19.5,26.7,0.3,Bangalore,0.0
147,10-09-1990,25.2,19.9,29.7,0.0,Bangalore,0.0
148,11-09-1990,24.0,20.2,28.8,0.0,Bangalore,0.0
149,12-09-1990,24.3,20.2,29.5,0.0,Bangalore,0.0
150,14-09-1990,24.4,19.6,28.6,0.0,Bangalore,0.0
151,15-09-1990,26.1,20.1,30.7,0.0,Bangalore,0.0
152,16-09-1990,25.3,21.0,30.7,0.0,Bangalore,0.0
153,17-09-1990,24.6,20.9,31.2,0.0,Bangalore,0.0
154,18-09-1990,24.6,20.3,29.7,9.1,Bangalore,10.0
155,22-09-1990,24.3,20.3,30.0,5.3,Bangalore,10.0
156,24-09-1990,22.3,19.4,28.0,17.5,Bangalore,20.0
157,25-09-1990,22.6,19.6,25.5,2.3,Bangalore,0.0
158,26-09-1990,24.8,19.5,29.5,0.0,Bangalore,0.0
159,27-09-1990,24.1,20.9,28.8,0.0,Bangalore,0.0
160,28-09-1990,22.8,20.5,26.6,0.0,Bangalore,0.0
161,02-10-1990,23.6,19.8,27.5,0.3,Bangalore,0.0
162,03-10-1990,22.8,19.7,26.2,0.0,Bangalore,0.0
163,04-10-1990,23.2,18.5,29.8,0.3,Bangalore,0.0
164,05-10-1990,24.1,18.9,30.5,0.0,Bangalore,0.0
165,06-10-1990,24.2,18.5,30.8,0.0,Bangalore,0.0
166,07-10-1990,25.1,19.7,31.0,0.0,Bangalore,0.0
167,09-10-1990,24.8,19.0,30.3,0.0,Bangalore,0.0
168,10-10-1990,24.9,20.8,28.8,0.0,Bangalore,0.0
169,14-10-1990,23.4,19.8,28.0,25.7,Bangalore,30.0
170,15-10-1990,23.5,20.0,28.5,0.0,Bangalore,0.0
171,16-10-1990,23.3,19.8,29.0,0.0,Bangalore,0.0
172,17-10-1990,24.3,20.0,29.5,0.3,Bangalore,0.0
173,18-10-1990,23.3,19.4,29.3,0.0,Bangalore,0.0
174,19-10-1990,22.1,19.4,25.5,0.3,Bangalore,0.0
175,21-10-1990,24.2,19.5,27.5,0.0,Bangalore,0.0
176,25-10-1990,22.5,19.9,26.3,0.0,Bangalore,0.0
177,27-10-1990,22.3,19.5,26.0,0.0,Bangalore,0.0
178,30-10-1990,20.9,19.4,24.0,8.9,Bangalore,10.0
179,01-11-1990,19.9,19.4,21.4,8.1,Bangalore,10.0
180,02-11-1990,21.7,18.2,26.0,3.0,Bangalore,0.0
181,03-11-1990,21.3,17.2,27.7,0.0,Bangalore,0.0
182,06-11-1990,23.1,18.3,27.6,0.0,Bangalore,0.0
183,13-11-1990,21.4,14.6,29.3,0.0,Bangalore,0.0
184,16-11-1990,21.8,20.4,26.0,0.0,Bangalore,0.0
185,20-11-1990,23.2,17.2,28.5,0.0,Bangalore,0.0
186,24-11-1990,21.9,20.0,29.5,0.0,Bangalore,0.0
187,29-11-1990,21.2,16.0,26.6,0.0,Bangalore,0.0
188,30-11-1990,22.4,16.1,27.6,0.0,Bangalore,0.0
189,01-12-1990,20.8,15.6,27.0,0.0,Bangalore,0.0
190,02-12-1990,20.3,16.6,26.5,0.0,Bangalore,0.0
191,06-12-1990,20.8,17.0,25.5,0.0,Bangalore,0.0
192,07-12-1990,20.8,17.0,26.1,0.0,Bangalore,0.0
193,08-12-1990,20.9,16.4,25.2,0.0,Bangalore,0.0
194,11-12-1990,20.6,14.7,26.5,0.0,Bangalore,0.0
195,12-12-1990,20.2,14.9,25.6,0.0,Bangalore,0.0
196,15-12-1990,19.7,15.6,27.5,0.0,Bangalore,0.0
197,16-12-1990,21.3,15.2,28.1,0.0,Bangalore,0.0
198,17-12-1990,22.6,15.1,29.3,0.0,Bangalore,0.0
199,18-12-1990,22.4,16.0,27.5,0.0,Bangalore,0.0
200,19-12-1990,21.4,16.0,28.1,0.0,Bangalore,0.0
201,20-12-1990,20.7,15.4,27.1,0.0,Bangalore,0.0
